EditionId	ASIN	ISBN	Title	Author	Edition Author	Binding	PublicationYear	Rating	Tags	Note	Condition	DatePurchased	PurchasePrice	DateRead	Signed	Loaned	LoanedTo	LoanedDate	LoanDueDate	DateAdded	Private	Favorites list	I plan to read list	Wish list	I've read list	I own list	I'm reading list	Review
10034	"0142000280"	"0142000280"	Getting Things Done	Allen, David	David Allen	Paperback	2002													8/22/2008		False	False	False	False	False	False	
10075	"0156027321"	"0156027321"	Life of Pi	Martel, Yann	Yann Martel	Paperback	2003	3						1/1/2009						7/23/2009		False	False	False	True	False	False	
10095	"0307343197"	"0307343197"	The Great Gatsby	Fitzgerald, F. Scott	F. Scott Fitzgerald	Paperback	2005	5						2/8/2011						2/9/2011		True	False	False	True	False	False	
10140	"074325807X"	"074325807X"	Benjamin Franklin	Isaacson, Walter	Walter Isaacson	Paperback	2004	4												5/31/2013		False	True	False	False	False	False	
10225	"074348763X"	"074348763X"	Crime and Punishment	Dostoyevsky, Fyodor	Fyodor Dostoyevsky	Mass Market Paperback	2004	5						1/1/2007						8/22/2008		True	False	False	True	False	False	
10277	"1592243851"	"1592243851"	Fathers and Sons	Turgenev, Ivan	Ivan Turgenev	Paperback	2003	4						11/24/2012						11/24/2012		False	False	False	True	False	False	
10291	"1593080069"	"1593080069"	Great Expectations	Dickens, Charles	Charles Dickens	Mass Market Paperback	2003													10/12/2009		False	True	False	False	False	False	
10413	"1578518520"	"1578518520"	The Innovator's Solution	Christensen, Clayton M.; Michael E. Raynor	Clayton M. Christensen, Michael E. Raynor	Hardcover	2003													7/6/2011		False	True	False	False	False	False	
10415	"0060521996"	"0060521996"	The Innovator's Dilemma	Christensen, Clayton M.	Clayton M. Christensen	Paperback	2003	5						11/1/2011						7/6/2011		True	False	False	True	False	False	
11077	"0452011876"	"0452011876"	Atlas Shrugged	Rand, Ayn	Ayn Rand	Paperback	1999	5						1/1/2009						7/14/2009		False	False	False	True	False	False	
11162	"0441013678"	"0441013678"	Count Zero	Gibson, William	William Gibson	Paperback	2006	5						7/6/2014						7/9/2014		False	False	False	True	False	False	
11163	"0553281747"	"0553281747"	Mona Lisa Overdrive	Gibson, William	William Gibson	Mass Market Paperback	1989	5						7/13/2014						7/9/2014		False	False	False	True	False	False	
11164	"0441569595"	"0441569595"	Neuromancer	Gibson, William	William Gibson	Mass Market Paperback	1984	5						9/1/2013						8/7/2013		False	False	False	True	False	False	
11309	"0060934913"	"0060934913"	Kitchen Confidential	Bourdain, Anthony	Anthony Bourdain	Paperback	2001	4						2/7/2011						1/29/2011		False	False	False	True	False	False	
11491	"1880685221"	"1880685221"	Hold 'em Poker For Advanced Players	Sklansky, David; Mason Malmuth	David Sklansky, Mason Malmuth	Paperback	1999	3						1/1/2009						2/5/2009		False	False	False	True	False	False	
11497	"1416903674"	"1416903674"	Phil Gordon's Little Green Book	Gordon, Phil	Phil Gordon	Hardcover	2005	4						1/1/2008						2/5/2009		False	False	False	True	False	False	
11528	"0553585975"	"055299670X"	The Wealth of Nations	Smith, Adam	Adam Smith	Mass Market Paperback	2003	4						2/1/2010						8/22/2008		False	False	False	True	False	False	
11857	"0449300021"	"0449300021"	Les Misérables	Hugo, Victor	Victor Hugo	Mass Market Paperback	1982	5						5/31/2013						3/3/2013		False	False	False	True	False	False	
11968	"0385333846"	"0385333846"	Slaughterhouse-Five	Vonnegut, Kurt, Jr.	Kurt Vonnegut	Paperback	1999	5						1/1/2007						7/14/2009		True	False	False	True	False	False	
